country,country_code,year,growth_since_2010_pct,index_2010=100
Türkiye,TUR,2023,87.97649502513916,187.97649502513914
Latvia,LVA,2024,76.8336768600817,176.8336768600817
Lithuania,LTU,2024,66.56248226848969,166.56248226848967
Costa Rica,CRI,2023,40.540917327916624,140.54091732791665
Iceland,ISL,2024,40.40921350902047,140.40921350902045
Estonia,EST,2024,40.100745012139846,140.10074501213984
Poland,POL,2024,37.86619442507488,137.86619442507487
Hungary,HUN,2024,30.570509948574443,130.57050994857443
Slovenia,SVN,2024,25.411726134074584,125.41172613407458
Czechia,CZE,2024,21.411459693048318,121.41145969304831
New Zealand,NZL,2024,20.689419480665272,120.68941948066526
Slovak Republic,SVK,2024,20.670209053306053,120.67020905330607
Israel,ISR,2024,18.86136675502548,118.86136675502547
Korea,KOR,2024,18.409117684648947,118.40911768464895
United States,USA,2024,16.088353532383447,116.08835353238344
Luxembourg,LUX,2024,15.54596183081134,115.54596183081134
Germany,DEU,2024,13.512678944405131,113.51267894440512
Sweden,SWE,2024,12.321303593212196,112.3213035932122
Canada,CAN,2024,11.205359126033198,111.20535912603322
OECD,OECD,2024,10.992969446874735,110.99296944687474
Norway,NOR,2024,10.972258584438666,110.97225858443868
Denmark,DNK,2024,9.740264447811487,109.74026444781148
Switzerland,CHE,2024,8.221493024249703,108.22149302424971
Chile,CHL,2023,6.184640297178068,106.18464029717806
Australia,AUS,2024,6.04238038130005,106.04238038130003
Portugal,PRT,2024,5.917800056752576,105.91780005675257
Mexico,MEX,2024,5.732292752467405,105.7322927524674
Belgium,BEL,2024,5.269446394984745,105.26944639498475
Austria,AUT,2024,5.080741645250186,105.08074164525019
France,FRA,2024,4.736058471351945,104.73605847135194
United Kingdom,GBR,2024,4.0287430754309295,104.02874307543092
Finland,FIN,2024,2.1354440755493975,102.13544407554939
Colombia,COL,2023,1.3253065174720913,101.32530651747207
Japan,JPN,2024,0.14273697320816847,100.14273697320816
Spain,ESP,2024,-2.8023907611445353,97.19760923885546
Netherlands,NLD,2024,-5.1239998270406595,94.87600017295934
Ireland,IRL,2024,-6.069586842278241,93.93041315772174
Italy,ITA,2024,-7.110117708868124,92.88988229113187
Greece,GRC,2024,-21.19618003247564,78.80381996752436
