country,country_code,year,wage_usd_ppp_const,index_2010=100
Australia,AUS,2010,66705.582,100.0
Australia,AUS,2011,68914.944,103.31210962225022
Australia,AUS,2012,69392.868,104.02857739851517
Australia,AUS,2013,69189.387,103.72353396152066
Australia,AUS,2014,69877.669,104.75535465682617
Australia,AUS,2015,69464.852,104.13649040645505
Australia,AUS,2016,69806.581,104.64878486481088
Australia,AUS,2017,69579.169,104.30786586945602
Australia,AUS,2018,69832.234,104.68724191627621
Australia,AUS,2019,70501.846,105.69107394940353
Australia,AUS,2020,71915.394,107.81015897590102
Australia,AUS,2021,72716.686,109.01139577794255
Australia,AUS,2022,71109.992,106.60276077045548
Australia,AUS,2023,70422.098,105.57152173561727
Australia,AUS,2024,70736.187,106.04238038130003
Austria,AUT,2010,72103.745,100.0
Austria,AUT,2011,71327.643,98.92363149792011
Austria,AUT,2012,71731.843,99.4842126438786
Austria,AUT,2013,71761.772,99.52572089008692
Austria,AUT,2014,72033.928,99.90317146494957
Austria,AUT,2015,72558.786,100.6310920466059
Austria,AUT,2016,73253.777,101.59496847216467
Austria,AUT,2017,73263.137,101.60794976738033
Austria,AUT,2018,73540.157,101.9921461777055
Austria,AUT,2019,74147.783,102.83485691346546
Austria,AUT,2020,74353.046,103.11953422114206
Austria,AUT,2021,75501.799,104.71272886033869
Austria,AUT,2022,73761.494,102.29911636351206
Austria,AUT,2023,73585.512,102.05504859699036
Austria,AUT,2024,75767.15,105.08074164525019
Belgium,BEL,2010,72299.056,100.0
Belgium,BEL,2011,73038.155,101.02228029090726
Belgium,BEL,2012,73628.817,101.83925084720332
Belgium,BEL,2013,74358.208,102.84810357689871
Belgium,BEL,2014,74774.678,103.42414152682713
Belgium,BEL,2015,74266.295,102.72097466943414
Belgium,BEL,2016,74425.268,102.94085720842607
Belgium,BEL,2017,73904.426,102.22045776088696
Belgium,BEL,2018,74341.899,102.82554588264611
Belgium,BEL,2019,75073.885,103.83798787082364
Belgium,BEL,2020,72792.596,100.68263685213263
Belgium,BEL,2021,75091.965,103.86299511296524
Belgium,BEL,2022,73530.44,101.70318129741555
Belgium,BEL,2023,75661.615,104.65090304913527
Belgium,BEL,2024,76108.816,105.26944639498475
Canada,CAN,2010,62422.417,100.0
Canada,CAN,2011,63173.717,101.20357403014367
Canada,CAN,2012,63921.863,102.40209538826412
Canada,CAN,2013,64599.0,103.48686113836315
Canada,CAN,2014,65442.989,104.83892188923092
Canada,CAN,2015,65924.573,105.61041396394505
Canada,CAN,2016,64675.087,103.60875164446132
Canada,CAN,2017,65726.977,105.29386742586401
Canada,CAN,2018,66959.594,107.2685057997674
Canada,CAN,2019,67227.517,107.69771538964922
Canada,CAN,2020,69662.78,111.59897893732631
Canada,CAN,2021,70001.671,112.14187845369717
Canada,CAN,2022,69304.208,111.02455068345078
Canada,CAN,2023,69299.313,111.0167089492866
Canada,CAN,2024,69417.073,111.20535912603322
Chile,CHL,2010,35908.976,100.0
Chile,CHL,2011,36737.254,102.30660434315921
Chile,CHL,2012,37815.107,105.30822989772808
Chile,CHL,2013,38814.65,108.09177627343091
Chile,CHL,2014,39167.092,109.07326346482282
Chile,CHL,2015,39051.772,108.75211813336028
Chile,CHL,2016,40782.724,113.57250621683002
Chile,CHL,2017,39507.714,110.02183409518555
Chile,CHL,2018,36110.511,100.56123850482396
Chile,CHL,2019,36691.696,102.17973355742588
Chile,CHL,2020,36888.052,102.72654948445202
Chile,CHL,2021,38873.961,108.25694667539392
Chile,CHL,2022,37686.292,104.9495034333477
Chile,CHL,2023,38129.817,106.18464029717806
Colombia,COL,2010,28461.265,100.0
Colombia,COL,2011,28377.165,99.70451067442013
Colombia,COL,2012,29104.222,102.25905981339902
Colombia,COL,2013,29850.692,104.88181744557032
Colombia,COL,2014,29834.603,104.82528798351022
Colombia,COL,2015,29932.51,105.16928885627536
Colombia,COL,2016,29598.443,103.99552865974158
Colombia,COL,2017,30418.012,106.87512308395287
Colombia,COL,2018,31584.761,110.9745508500764
Colombia,COL,2019,31758.683,111.58563401872686
Colombia,COL,2020,36133.458,126.95661278583366
Colombia,COL,2021,32695.881,114.87852349500278
Colombia,COL,2022,29303.999,102.96098574676846
Colombia,COL,2023,28838.464,101.32530651747207
Costa Rica,CRI,2010,29179.838,100.0
Costa Rica,CRI,2011,30579.002,104.79496836137336
Costa Rica,CRI,2012,31245.25,107.0782161299182
Costa Rica,CRI,2013,33788.905,115.79538241439175
Costa Rica,CRI,2014,33972.59,116.4248752854625
Costa Rica,CRI,2015,36256.207,124.25088514884833
Costa Rica,CRI,2016,37745.751,129.3555879234148
Costa Rica,CRI,2017,37607.974,128.88342286204607
Costa Rica,CRI,2018,38382.49,131.53770764594375
Costa Rica,CRI,2019,39452.125,135.20337227369117
Costa Rica,CRI,2020,43228.685,148.14573336562046
Costa Rica,CRI,2021,42225.891,144.70913443727827
Costa Rica,CRI,2022,38739.337,132.76063081638767
Costa Rica,CRI,2023,41009.612,140.54091732791665
Czechia,CZE,2010,31700.884,100.0
Czechia,CZE,2011,31959.981,100.8173179019235
Czechia,CZE,2012,32018.481,101.00185534258289
Czechia,CZE,2013,31818.34,100.37051332701007
Czechia,CZE,2014,32490.151,102.48973183208393
Czechia,CZE,2015,33445.873,105.50454365878251
Czechia,CZE,2016,34626.923,109.23014954409474
Czechia,CZE,2017,36395.807,114.81006964979274
Czechia,CZE,2018,38323.807,120.8919189761396
Czechia,CZE,2019,39915.376,125.91250136746974
Czechia,CZE,2020,39341.541,124.10234679890945
Czechia,CZE,2021,40135.831,126.60792361500076
Czechia,CZE,2022,37617.582,118.66414198417938
Czechia,CZE,2023,36949.005,116.55512508736349
Czechia,CZE,2024,38488.506,121.41145969304831
Denmark,DNK,2010,67451.721,100.0
Denmark,DNK,2011,67077.854,99.44572652193708
Denmark,DNK,2012,67055.86,99.41311949623939
Denmark,DNK,2013,67497.153,100.0673548418431
Denmark,DNK,2014,68871.256,102.10452006109672
Denmark,DNK,2015,69973.719,103.73896760914371
Denmark,DNK,2016,70638.756,104.72491280096469
Denmark,DNK,2017,71066.106,105.35847706539614
Denmark,DNK,2018,71592.006,106.13814583025983
Denmark,DNK,2019,72106.287,106.90058894123693
Denmark,DNK,2020,73125.234,108.41122052319464
Denmark,DNK,2021,73584.662,109.09234176545323
Denmark,DNK,2022,71149.429,105.4820069009062
Denmark,DNK,2023,71462.794,105.94658363127604
Denmark,DNK,2024,74021.697,109.74026444781148
Estonia,EST,2010,27819.144,100.0
Estonia,EST,2011,27175.801,97.68740907340643
Estonia,EST,2012,27586.879,99.16508933560284
Estonia,EST,2013,28264.041,101.59924762602328
Estonia,EST,2014,29821.57,107.19801443207598
Estonia,EST,2015,31216.866,112.21361088608622
Estonia,EST,2016,32810.922,117.94367935979625
Estonia,EST,2017,33537.411,120.55515079831356
Estonia,EST,2018,35721.443,128.40597467700658
Estonia,EST,2019,37497.18,134.7891221958519
Estonia,EST,2020,39457.72,141.8365712474834
Estonia,EST,2021,41669.419,149.78684822221706
Estonia,EST,2022,38592.076,138.7248867182973
Estonia,EST,2023,38139.995,137.09981514887735
Estonia,EST,2024,38974.828,140.10074501213984
Finland,FIN,2010,58350.533,100.00000000000001
Finland,FIN,2011,58367.329,100.02878465566029
Finland,FIN,2012,58413.308,100.10758256484135
Finland,FIN,2013,57831.072,99.10975791772115
Finland,FIN,2014,57810.162,99.07392276948008
Finland,FIN,2015,58263.321,99.8505377834338
Finland,FIN,2016,58774.142,100.72597280302477
Finland,FIN,2017,58437.299,100.14869787050617
Finland,FIN,2018,58869.605,100.88957542170179
Finland,FIN,2019,59719.832,102.34667779298606
Finland,FIN,2020,60043.151,102.90077555932521
Finland,FIN,2021,62132.388,106.48126898857976
Finland,FIN,2022,60104.436,103.00580459136509
Finland,FIN,2023,59420.701,101.83403294705121
Finland,FIN,2024,59596.576,102.13544407554939
France,FRA,2010,57867.381,100.00000000000001
France,FRA,2011,57763.65,99.8207435722726
France,FRA,2012,58139.541,100.47031677483382
France,FRA,2013,58637.643,101.33108149477164
France,FRA,2014,59043.357,102.0321915035346
France,FRA,2015,59600.312,102.99465946108741
France,FRA,2016,60284.45,104.17691099585102
France,FRA,2017,61120.078,105.62095077363186
France,FRA,2018,61041.792,105.48566557729647
France,FRA,2019,61631.808,106.50526589409671
France,FRA,2020,58590.773,101.2500859508399
France,FRA,2021,60900.747,105.24192722667024
France,FRA,2022,61156.437,105.68378237128098
France,FRA,2023,60140.542,103.92822512565412
France,FRA,2024,60608.014,104.73605847135194
Germany,DEU,2010,61167.671,100.0
Germany,DEU,2011,62400.788,102.01596199404094
Germany,DEU,2012,63233.321,103.3770290191366
Germany,DEU,2013,63828.7,104.35038469913297
Germany,DEU,2014,64898.733,106.09972872761495
Germany,DEU,2015,66389.948,108.53764237647695
Germany,DEU,2016,67409.631,110.204671680241
Germany,DEU,2017,68117.688,111.36223904944819
Germany,DEU,2018,69070.405,112.9197889519122
Germany,DEU,2019,70225.225,114.80774705317782
Germany,DEU,2020,69750.812,114.0321527036725
Germany,DEU,2021,69828.515,114.15918549522671
Germany,DEU,2022,68225.562,111.53859691666207
Germany,DEU,2023,68104.229,111.34023559602261
Germany,DEU,2024,69433.062,113.51267894440512
Greece,GRC,2010,40933.437,100.0
Greece,GRC,2011,38335.701,93.65375548601014
Greece,GRC,2012,36104.342,88.20256652281606
Greece,GRC,2013,33745.986,82.4411250880301
Greece,GRC,2014,33606.424,82.1001764401069
Greece,GRC,2015,33936.951,82.90765077948379
Greece,GRC,2016,33157.589,81.00367677407593
Greece,GRC,2017,33370.147,81.52295396059705
Greece,GRC,2018,31829.651,77.75953678162917
Greece,GRC,2019,31882.627,77.88895664930361
Greece,GRC,2020,31976.297,78.11779157464836
Greece,GRC,2021,32289.469,78.88286781293249
Greece,GRC,2022,31456.577,76.8481205230824
Greece,GRC,2023,31597.68,77.1928338194518
Greece,GRC,2024,32257.112,78.80381996752436
Hungary,HUN,2010,26802.232,100.0
Hungary,HUN,2011,27148.976,101.29371315045702
Hungary,HUN,2012,26244.593,97.91943073994734
Hungary,HUN,2013,25976.842,96.92044304369875
Hungary,HUN,2014,25636.604,95.6510039910109
Hungary,HUN,2015,25835.254,96.39217360703393
Hungary,HUN,2016,26069.948,97.26782456028289
Hungary,HUN,2017,27955.618,104.30332070851412
Hungary,HUN,2018,29318.328,109.38763607448813
Hungary,HUN,2019,30298.509,113.04472329020956
Hungary,HUN,2020,30821.627,114.99649357560968
Hungary,HUN,2021,31645.722,118.0712188447589
Hungary,HUN,2022,32759.474,122.2266638091932
Hungary,HUN,2023,32474.997,121.16527086251621
Hungary,HUN,2024,34995.811,130.57050994857443
Iceland,ISL,2010,64060.544,100.0
Iceland,ISL,2011,66793.687,104.26649982866209
Iceland,ISL,2012,66427.118,103.69427708887392
Iceland,ISL,2013,67427.785,105.25634156338104
Iceland,ISL,2014,68381.198,106.7446414441938
Iceland,ISL,2015,72888.166,113.78012337828413
Iceland,ISL,2016,78720.857,122.88508976757987
Iceland,ISL,2017,86214.703,134.58315777024933
Iceland,ISL,2018,91021.622,142.0868701957948
Iceland,ISL,2019,88097.742,137.52262547130414
Iceland,ISL,2020,82713.41,129.11755791521222
Iceland,ISL,2021,86206.495,134.57034489123288
Iceland,ISL,2022,92240.416,143.9894359935501
Iceland,ISL,2023,89721.349,140.05711378286142
Iceland,ISL,2024,89946.906,140.40921350902045
Ireland,IRL,2010,64335.697,100.0
Ireland,IRL,2011,63412.573,98.56514494589217
Ireland,IRL,2012,62869.758,97.72142205904755
Ireland,IRL,2013,61470.405,95.54634186989534
